id;action;table_name;record_id;changes;created_at
1;yet unimpressively livid;fluid if;um whose propound;../fake-data/blob/hipster.txt;2025-05-06T16:29:58
2;before huzzah acrylic;boo winged however;because charm lightly;../fake-data/blob/hipster.txt;2025-05-06T04:31:59
3;mint psst misinform;courageously yippee vouch;briskly;../fake-data/blob/hipster.txt;2025-05-06T02:55:55
4;under;rate unless;distributor yahoo;../fake-data/blob/hipster.txt;2025-05-06T12:45:02
5;frightfully soon;qua;gadzooks unfortunately;../fake-data/blob/hipster.txt;2025-05-06T18:24:57
6;poorly gracefully summon;meme ha;geez;../fake-data/blob/hipster.txt;2025-05-06T10:14:48
7;ew ah likely;gadzooks thoroughly;across bribery vague;../fake-data/blob/hipster.txt;2025-05-06T19:37:15
8;freely likewise;apud eek vise;gee;../fake-data/blob/hipster.txt;2025-05-06T15:24:07
9;enthusiastically key because;exploit duh interview;sandy different without;../fake-data/blob/hipster.txt;2025-05-06T00:17:41
10;anenst since bungle;where;creation;../fake-data/blob/hipster.txt;2025-05-05T23:40:16
