id;tenant_id;operation_type;target_count;success_count;error_count;operation_details;created_at
1;but joyfully hot;elaborate;25538;7960;9749;../fake-data/blob/hipster.txt;2025-05-29T22:52:28
2;since instead;save;25806;18341;27179;../fake-data/blob/hipster.txt;2025-05-29T22:59:57
3;duh reasonable;folklore wrongly guilty;18935;11793;2556;../fake-data/blob/hipster.txt;2025-05-30T08:19:39
4;yum;cheerfully;14881;565;581;../fake-data/blob/hipster.txt;2025-05-30T13:18:41
5;who;um whereas or;11747;2585;8772;../fake-data/blob/hipster.txt;2025-05-29T18:52:14
6;drat privilege yellowish;barring instead;31793;23019;29204;../fake-data/blob/hipster.txt;2025-05-30T10:55:02
7;wherever sailing;underneath magic intently;12217;29898;23610;../fake-data/blob/hipster.txt;2025-05-30T10:45:49
8;cop or;onto very;6810;6993;30354;../fake-data/blob/hipster.txt;2025-05-30T05:30:57
9;searchingly;instead;15565;29683;1004;../fake-data/blob/hipster.txt;2025-05-29T17:01:52
10;equally;how;3724;5652;15408;../fake-data/blob/hipster.txt;2025-05-29T15:29:12
