id;tenant_id;name;type;description;created_by_id;created_at;scheduled_at;sent_at;status
1;united until;ouch accountability hastily;ballpark vanadyl next;crushing queasily;652;2025-06-23T06:29:45;2025-06-23T18:06:07;2025-06-24T00:56:34;capture
2;like;yowza gear;sermon;sleepily punctually until;31480;2025-06-23T06:23:03;2025-06-23T17:54:59;2025-06-23T10:49:35;font instead
3;woefully over verge;till lob delightful;even considerate;reorganize pink;7918;2025-06-23T13:45:55;2025-06-23T17:10:13;2025-06-23T06:51:03;uh-huh gee
4;supposing coruscate psst;detainee pillar oof;inasmuch behind actually;wan failing patronise;22638;2025-06-23T13:12:33;2025-06-23T13:34:49;2025-06-23T08:42:55;incidentally dromedary
5;mmm whose circa;a snooper;next fooey;certainty knowingly ample;29516;2025-06-23T20:55:35;2025-06-23T19:24:00;2025-06-24T03:29:36;menacing oh
6;hmph;bivvy;pish;fooey;30525;2025-06-23T13:25:42;2025-06-23T17:17:38;2025-06-23T20:13:00;gosh
7;until;aboard;suffocate well-groomed;usually;18630;2025-06-23T23:35:53;2025-06-23T06:26:23;2025-06-23T06:19:32;promotion bunt
8;commercialize;maker;positive of unlined;psst misty;27634;2025-06-23T10:36:32;2025-06-23T19:49:21;2025-06-23T07:40:07;hmph shrilly
9;velvety skiing that;edge right modulo;military ha vignette;reassuringly;22448;2025-06-23T14:54:11;2025-06-23T23:11:50;2025-06-23T10:27:41;externalise blah yippee
10;whether indeed admirable;enormously critical trained;unless across;fitting;13453;2025-06-23T17:44:59;2025-06-23T09:49:58;2025-06-23T22:10:33;even gah whoa
