id;code;description;discount_type;discount_value;max_uses;uses_count;valid_from;valid_to;is_active;created_at;updated_at;event_id;tenant_id
1;regarding enormously;spider woot;whereas stamp fooey;14893.44;20893;14969;2025-06-06T23:17:05;2025-06-07T21:21:22;false;2025-06-06T23:33:18;2025-06-07T03:00:28;465;modest get refectory
2;naturally;ack;without afore;7342.89;18766;3588;2025-06-07T03:34:26;2025-06-07T18:16:32;false;2025-06-07T06:35:04;2025-06-07T13:37:41;18229;till whack
3;hydraulics instead justly;sadly;boohoo till yippee;10660.25;28594;26787;2025-06-07T19:00:26;2025-06-07T07:43:49;false;2025-06-07T19:25:39;2025-06-07T21:39:24;7140;furthermore
4;nutritious;ew;military absent half;32238.52;25066;9201;2025-06-07T17:35:24;2025-06-07T13:29:20;false;2025-06-06T22:53:43;2025-06-07T21:03:16;30425;kid upon
5;verbally young;corral puggle;aha;23931.61;4313;19904;2025-06-06T23:30:04;2025-06-07T06:49:48;false;2025-06-07T08:27:08;2025-06-07T16:58:04;13187;fooey er
6;unnaturally;offensively;precis fugato;18956.35;18629;23606;2025-06-07T06:52:04;2025-06-07T06:26:40;true;2025-06-06T23:25:39;2025-06-07T15:03:07;31607;silently oblong beetle
7;majestic pace;until deepen;sprag cleric concept;30060.54;4468;15209;2025-06-07T07:54:40;2025-06-07T04:58:13;true;2025-06-07T07:17:42;2025-06-07T10:26:01;30567;mid qua provided
8;worriedly;after of;modulo;26856.53;11891;466;2025-06-07T15:26:42;2025-06-07T13:28:44;true;2025-06-07T17:39:11;2025-06-07T02:17:46;30984;sans never
9;for along;supposing;burly substitute;8290.1;25338;3337;2025-06-07T09:44:48;2025-06-07T19:35:07;false;2025-06-07T19:09:30;2025-06-07T06:50:23;9702;queasily
10;aw;ew dearly who;whoa energetically u;2735.2;12300;26839;2025-06-07T16:32:52;2025-06-07T00:56:14;true;2025-06-06T23:00:07;2025-06-07T10:55:40;2188;an dangerous urgently
