id;tenant_id;recipient_email;subject;body;sent_at;status;type;campaign_id;metadata
1;till hire reassuringly;exactly hood;recapitulate unless or;../fake-data/blob/hipster.txt;2025-06-23T16:08:13;for;mindless;19668;../fake-data/blob/hipster.txt
2;before;onto sultan;arrogantly while leading;../fake-data/blob/hipster.txt;2025-06-24T00:08:52;aw displace nicely;ha meanwhile;4611;../fake-data/blob/hipster.txt
3;joint insecure;sift blindly skywalk;curiously radiant duh;../fake-data/blob/hipster.txt;2025-06-23T16:35:51;across latency barring;abrade glass;23990;../fake-data/blob/hipster.txt
4;brr drafty schlepp;than meanwhile;amidst phew;../fake-data/blob/hipster.txt;2025-06-23T05:07:45;aha metallic boo;boastfully;18379;../fake-data/blob/hipster.txt
5;gracefully;fast ick;motionless polish closed;../fake-data/blob/hipster.txt;2025-06-23T07:35:03;failing;ew;18116;../fake-data/blob/hipster.txt
6;section;opposite tight live;meeting;../fake-data/blob/hipster.txt;2025-06-23T06:58:57;supportive million;snowstorm;10982;../fake-data/blob/hipster.txt
7;busy bitter happily;ouch;helplessly;../fake-data/blob/hipster.txt;2025-06-23T23:47:31;deepen toward quirkily;congratulate hateful;9209;../fake-data/blob/hipster.txt
8;round mallard;meh beyond ouch;mmm gigantic;../fake-data/blob/hipster.txt;2025-06-23T18:51:02;beneath;kindheartedly;24493;../fake-data/blob/hipster.txt
9;pro;kookily live consequently;loyally creep;../fake-data/blob/hipster.txt;2025-06-23T21:19:48;annually conceptualize;perfect purl oof;22950;../fake-data/blob/hipster.txt
10;who;unto;knowledgeably;../fake-data/blob/hipster.txt;2025-06-23T10:12:14;violently;sparkling;30507;../fake-data/blob/hipster.txt
