id;title;caption;description;start_date;end_date;start_time;end_time;location;directions_to_venue;capacity;admission_type;is_active;created_at;updated_at
1;dreamer;including tremendously;ah;2025-05-06;2025-05-06;2025-05-06T12:01:36;2025-05-06T18:14:18;abaft;indeed;27602;surpass;true;2025-05-06T15:25:37;2025-05-06T07:17:23
2;dirty till if;intently before lest;cinnamon;2025-05-05;2025-05-06;2025-05-05T19:46:25;2025-05-05T20:00:37;easily black protest;above phrase;8600;puffin exotic;false;2025-05-06T02:58:56;2025-05-06T16:02:44
3;next;sentencing towards promptly;capital inventor;2025-05-06;2025-05-05;2025-05-05T19:58:56;2025-05-06T05:42:36;drab dimpled;erupt what;28270;which blend;false;2025-05-05T21:32:27;2025-05-06T07:06:18
4;along ha incredible;aged prose moustache;like;2025-05-05;2025-05-05;2025-05-06T04:52:40;2025-05-06T04:05:30;bah;excepting between;27025;blanch;true;2025-05-06T09:47:07;2025-05-05T20:17:36
5;foment yowza;yuck tightly evolve;olive;2025-05-06;2025-05-06;2025-05-06T07:08:48;2025-05-06T11:59:10;plight;heritage;31682;kookily retouch;false;2025-05-06T18:14:04;2025-05-06T04:51:41
6;smug apportion drat;once buffer;um needily;2025-05-06;2025-05-06;2025-05-06T10:15:38;2025-05-05T19:45:08;anxious;turmeric dazzling although;4101;finally;false;2025-05-06T02:12:53;2025-05-06T11:31:22
7;ugh;semaphore ouch;repulse;2025-05-06;2025-05-06;2025-05-05T20:04:04;2025-05-06T10:51:18;promptly hover;decode per;30913;truly;true;2025-05-06T12:19:44;2025-05-05T20:46:51
8;steel elope efficacy;however yippee;pip past;2025-05-06;2025-05-06;2025-05-06T00:46:56;2025-05-06T16:37:18;metallic;kindly;30716;reset pessimistic;true;2025-05-06T17:55:28;2025-05-06T17:41:39
9;sadly counterbalance;chatter hungrily an;clay loving;2025-05-06;2025-05-06;2025-05-06T01:11:02;2025-05-06T09:04:45;dunt;lock;7304;rim through;true;2025-05-06T06:58:16;2025-05-05T22:36:40
10;gosh;modulo while aside;urgently than;2025-05-05;2025-05-06;2025-05-06T05:33:47;2025-05-06T06:00:34;grizzled;longingly equate;28303;and sovereignty;true;2025-05-05T22:15:40;2025-05-06T15:53:17
