id;tenant_id;age_group;price;is_active;valid_from;valid_to;description;created_at;updated_at;event_id
1;sublimate to jaw;undertaker under;13018.21;true;2025-06-02;2025-06-02;an;2025-06-03T04:35:30;2025-06-03T03:59:49;1
2;ha;ridge ick;24561.03;false;2025-06-02;2025-06-02;and;2025-06-02T22:47:30;2025-06-03T02:25:52;2
3;evenly;tax;14654.89;false;2025-06-02;2025-06-03;even;2025-06-03T02:54:48;2025-06-03T01:09:15;3
4;pet;ouch modulo;19087.81;false;2025-06-02;2025-06-02;crook brr mmm;2025-06-02T23:59:53;2025-06-03T00:40:27;4
5;bargain well-informed ick;tree harsh vital;21289.01;true;2025-06-02;2025-06-02;flat;2025-06-03T02:17:35;2025-06-02T08:45:11;5
6;eek physically;athwart;5101.73;false;2025-06-02;2025-06-02;survive;2025-06-02T22:01:04;2025-06-02T12:02:01;6
7;embolden jealously;in;246.45;true;2025-06-02;2025-06-02;so dreamily beyond;2025-06-02T17:50:39;2025-06-02T12:01:13;7
8;yearly gadzooks apud;pension;24416.49;true;2025-06-03;2025-06-03;provided supersized;2025-06-02T08:51:54;2025-06-02T15:08:24;8
9;provided whoever mmm;ew;3512.49;true;2025-06-02;2025-06-02;huzzah;2025-06-02T10:41:52;2025-06-02T05:20:44;9
10;continually tremendous beside;selfishly;26192.65;true;2025-06-02;2025-06-02;than;2025-06-02T18:32:51;2025-06-02T12:41:11;10
