id;update_type;content_text;content_image_url;content_video_url;content_link_url;metadata;display_order;is_default;created_at;updated_at;event_id
1;intently attenuation;woot crank boo;effectuate;curiously razor;shirtdress oof;../fake-data/blob/hipster.txt;18298;false;2025-06-07T18:46:50;2025-06-07T09:19:44;1
2;whether until;that horsewhip;unless reassuringly;alongside;boohoo;../fake-data/blob/hipster.txt;2757;true;2025-06-07T03:19:14;2025-06-07T16:34:19;2
3;now;replication;construct;hmph hairy patiently;shuffle oh;../fake-data/blob/hipster.txt;25461;true;2025-06-07T18:55:57;2025-06-07T02:23:40;3
4;drat provided;than;want;ugh painfully vast;past fast forte;../fake-data/blob/hipster.txt;15748;false;2025-06-07T15:03:46;2025-06-07T15:59:10;4
5;worldly demarcate fu;ouch;toward;inside adventurously vacantly;relieve finger aw;../fake-data/blob/hipster.txt;6185;true;2025-06-07T02:13:54;2025-06-07T18:15:33;5
6;against beneath;wetly rib;than beside green;look um while;unsung;../fake-data/blob/hipster.txt;17503;true;2025-06-07T08:17:57;2025-06-07T18:17:34;6
7;less;brisk supersized next;blah refinance market;brightly oof lest;after ugly lest;../fake-data/blob/hipster.txt;16139;false;2025-06-07T01:26:21;2025-06-07T15:57:12;7
8;gee;exactly unearth while;hmph;when claim talent;now astonishing;../fake-data/blob/hipster.txt;7429;true;2025-06-06T23:55:42;2025-06-07T13:13:12;8
9;given rag weighty;bay until misty;supposing if;consequently inasmuch though;that swipe nervously;../fake-data/blob/hipster.txt;930;true;2025-06-07T10:21:04;2025-06-07T12:20:29;9
10;honestly;deceivingly;ah hiccup;enormously copying giant;apropos;../fake-data/blob/hipster.txt;21722;true;2025-06-07T05:41:29;2025-06-07T10:25:08;10
