id;attachment_type;attachment_url;display_order;metadata;created_at;updated_at;live_update_id
1;gosh;shy;20388;../fake-data/blob/hipster.txt;2025-06-06T23:18:24;2025-06-07T16:23:03;1
2;illiterate;curdle wise;2143;../fake-data/blob/hipster.txt;2025-06-07T17:37:52;2025-06-07T04:07:36;2
3;who;drat yawningly whoa;2898;../fake-data/blob/hipster.txt;2025-06-07T07:05:56;2025-06-06T23:13:03;3
4;furthermore plush un;rudely grassland;26204;../fake-data/blob/hipster.txt;2025-06-07T15:48:04;2025-06-07T11:43:05;4
5;speedily;negligible worthless phooey;15794;../fake-data/blob/hipster.txt;2025-06-07T13:09:22;2025-06-07T06:01:48;5
6;alongside redound;provided wreak for;12489;../fake-data/blob/hipster.txt;2025-06-07T16:19:36;2025-06-07T15:33:49;6
7;corduroy;fondly now artistic;14021;../fake-data/blob/hipster.txt;2025-06-07T20:47:04;2025-06-07T14:03:21;7
8;nasal;ouch velocity excess;23767;../fake-data/blob/hipster.txt;2025-06-06T22:56:31;2025-06-07T19:27:26;8
9;verbally supposing;inquisitively moral thwart;19198;../fake-data/blob/hipster.txt;2025-06-07T17:01:26;2025-06-07T07:21:05;9
10;onto;supposing form;30888;../fake-data/blob/hipster.txt;2025-06-07T15:51:32;2025-06-07T03:19:17;10
