id;tenant_id;title;description;is_active;start_date;end_date;created_at;updated_at
1;vaguely briefly;uh-huh geez guest;instantly;false;2025-05-29T19:01:56;2025-05-29T23:17:59;2025-05-30T06:35:58;2025-05-29T18:56:47
2;wassail until;ah;now;false;2025-05-29T20:24:59;2025-05-30T07:13:57;2025-05-30T10:39:27;2025-05-29T22:10:00
3;past;any;a nickel deck;true;2025-05-30T00:25:40;2025-05-30T05:05:24;2025-05-30T04:31:01;2025-05-30T00:04:25
4;after;sans end thoughtfully;while kissingly;true;2025-05-30T02:39:14;2025-05-30T09:00:44;2025-05-30T07:56:03;2025-05-29T16:09:32
5;alongside between;loftily carefree;not considering populist;false;2025-05-30T05:06:40;2025-05-30T04:49:18;2025-05-30T00:55:17;2025-05-30T04:55:29
6;vastly;huzzah up venti;but;true;2025-05-30T08:47:57;2025-05-29T18:56:08;2025-05-30T02:19:35;2025-05-29T20:29:55
7;cadge incubation unfurl;incredible;droop unimpressively root;false;2025-05-29T18:47:35;2025-05-29T16:53:56;2025-05-30T03:44:53;2025-05-30T05:31:52
8;instead;arise;per fooey plump;false;2025-05-29T14:12:21;2025-05-30T01:34:15;2025-05-30T01:08:32;2025-05-30T09:18:55
9;er;emery convene fooey;concerning as off;false;2025-05-30T02:51:00;2025-05-30T13:02:30;2025-05-30T08:53:04;2025-05-30T13:37:50
10;the;suddenly uh-huh;so instead;true;2025-05-29T15:53:46;2025-05-30T13:42:13;2025-05-29T16:38:53;2025-05-30T11:14:17
