id;team_a_name;team_b_name;team_a_score;team_b_score;remarks;created_at;updated_at;event_id
1;a consequently;where beautifully;15717;2994;midst oof moment;2025-06-07T18:41:45;2025-06-07T00:03:58;1
2;woot um courageously;except wetsuit legitimate;2608;3197;under;2025-06-07T05:27:56;2025-06-07T19:27:20;2
3;psst yahoo duh;thrill;27001;28847;inasmuch wildly;2025-06-07T15:07:12;2025-06-07T05:46:43;3
4;nor pinto once;though exception anenst;18557;19483;electric even;2025-06-07T13:12:34;2025-06-06T23:18:25;4
5;noxious into;drab near;25850;3940;sheepishly fooey towards;2025-06-07T07:04:40;2025-06-07T00:39:02;5
6;blissfully withhold;from for except;136;32520;pastel fast pension;2025-06-07T02:25:15;2025-06-07T10:15:22;6
7;masculine;meh thorough shuck;29956;12679;when boohoo duh;2025-06-07T05:27:50;2025-06-07T18:00:30;7
8;than near though;surplus pervade distant;9585;29094;enlist ouch;2025-06-07T18:26:31;2025-06-07T14:47:54;8
9;boo outside;gee;16878;8260;considerate sick;2025-06-07T09:59:04;2025-06-07T06:55:44;9
10;chit-chat playful liquefy;frock off;10876;27788;inhibition;2025-06-07T10:49:13;2025-06-07T16:22:02;10
