id;team_name;player_name;points;remarks;created_at;updated_at;score_card_id
1;fight before;encirclement including amortise;13537;wherever;2025-06-07T16:09:56;2025-06-07T06:37:14;1
2;aside scratchy and;certification;19104;among obvious;2025-06-07T18:55:03;2025-06-07T00:58:29;2
3;ah ugh elongation;criminalise;25652;brr which;2025-06-07T15:23:42;2025-06-07T08:26:46;3
4;squatter;certainly often crossly;27438;alongside;2025-06-07T14:00:12;2025-06-07T06:50:02;4
5;needle jubilantly;although;8657;sandblast shortwave smith;2025-06-07T01:32:26;2025-06-07T03:18:50;5
6;irritably raven unimpressively;boohoo;13507;yowza phenomenon;2025-06-07T16:26:23;2025-06-07T09:33:05;6
7;hoarse;scratchy;27022;sparkling unnecessarily best;2025-06-07T08:49:51;2025-06-07T09:46:23;7
8;accomplished;waterspout between joyfully;9239;bag;2025-06-07T08:29:23;2025-06-07T06:22:25;8
9;pirouette tightly unless;softening;937;circa;2025-06-07T02:21:54;2025-06-07T01:58:31;9
10;mechanism phooey;melodic thrill;7509;interestingly absentmindedly;2025-06-07T20:52:29;2025-06-07T18:09:17;10
