id;tenant_id;transaction_id;ticket_type_id;quantity;price_per_unit;total_amount;created_at;updated_at;transaction_id;ticket_type_id
1;earmark;32733;15252;15017;17600.22;8986.66;2025-06-25T10:57:59;2025-06-25T13:26:13;1;1
2;during;28920;20403;30709;6245.15;21810.98;2025-06-25T11:23:31;2025-06-24T21:41:01;2;2
3;unless weld mop;12898;19449;27172;15014.63;6404.65;2025-06-25T04:56:12;2025-06-25T06:15:50;3;3
4;near snowplow;8758;5999;20451;15921.21;24018.96;2025-06-25T07:58:29;2025-06-25T05:55:04;4;4
5;agile winding magic;26593;14127;8558;9098.56;24787.08;2025-06-25T15:37:50;2025-06-25T20:37:11;5;5
6;buttery;31011;23442;18313;17617.41;12914.08;2025-06-25T07:28:49;2025-06-25T18:11:58;6;6
7;dimly enrollment telegraph;2996;25909;12444;19264.07;16700.64;2025-06-25T09:07:14;2025-06-25T20:39:23;7;7
8;instead survivor carefully;6462;2131;12799;25354.27;23859.85;2025-06-25T17:56:37;2025-06-25T13:21:15;8;8
9;beast save;12876;27593;19165;23336.37;28297.44;2025-06-25T12:45:19;2025-06-25T21:21:30;9;9
10;import;20022;15047;17040;2344.63;31252.75;2025-06-25T09:38:57;2025-06-25T06:24:12;10;10
