id;title;description;is_active;start_date;end_date;created_at;updated_at
1;captivate;herb pioneer questionably;true;2025-05-06T11:47:24;2025-05-06T14:42:04;2025-05-06T06:09:20;2025-05-06T07:55:30
2;anti;infiltration trip;true;2025-05-06T17:35:54;2025-05-06T19:38:43;2025-05-06T09:45:14;2025-05-06T11:06:13
3;back light;unfit;false;2025-05-06T02:26:08;2025-05-06T17:36:54;2025-05-05T23:12:44;2025-05-06T01:59:26
4;monstrous;supposing lifestyle reasonable;true;2025-05-06T08:52:26;2025-05-06T03:21:24;2025-05-05T23:05:56;2025-05-05T21:25:30
5;only;broadly wasteful;false;2025-05-06T03:13:29;2025-05-06T04:12:59;2025-05-06T19:10:18;2025-05-06T10:37:53
6;and;aboard how;false;2025-05-06T00:12:50;2025-05-06T03:39:39;2025-05-06T10:41:50;2025-05-06T01:42:06
7;obnoxiously on;pish;false;2025-05-05T22:53:49;2025-05-06T06:17:26;2025-05-06T13:32:36;2025-05-05T22:11:07
8;belabor nullify adventurously;mass apprehend;true;2025-05-06T08:07:01;2025-05-06T01:48:35;2025-05-05T22:30:36;2025-05-06T02:04:49
9;ignite hateful vice;used before;true;2025-05-06T19:27:46;2025-05-05T22:37:30;2025-05-06T07:04:23;2025-05-06T14:59:39
10;nautical;yuck besides;false;2025-05-06T02:05:23;2025-05-06T02:41:37;2025-05-06T07:17:46;2025-05-06T09:30:49
