id;tenant_id;qr_code_data;generated_at;used_at;usage_count;last_scanned_by;created_at
1;pointed valiantly;hurtle when;2025-05-29T15:36:25;2025-05-29T15:05:27;13175;strictly;2025-05-30T12:16:49
2;direct while;carefully;2025-05-30T09:53:24;2025-05-29T22:43:09;31734;per;2025-05-30T09:42:12
3;delude;round;2025-05-29T20:21:22;2025-05-29T17:09:19;31569;grub throughout not;2025-05-30T07:23:27
4;gee;rephrase inconvenience selfishly;2025-05-30T13:25:37;2025-05-30T00:28:22;21560;actually except innocent;2025-05-29T17:19:09
5;shortage than;ick mysterious slight;2025-05-30T03:33:29;2025-05-30T03:51:30;25025;ouch pace;2025-05-29T20:18:23
6;insurance brr among;slow worth;2025-05-29T23:07:29;2025-05-30T12:15:51;14743;mishear fervently whoa;2025-05-29T22:22:46
7;confiscate active unlawful;wherever;2025-05-29T14:52:28;2025-05-30T03:40:29;14526;offensively once;2025-05-29T15:41:20
8;rightfully;taunt kissingly;2025-05-30T13:27:51;2025-05-30T00:14:34;14192;yum why scorn;2025-05-29T19:53:13
9;between tender;important unfolded ouch;2025-05-30T12:18:04;2025-05-30T10:36:42;6837;although;2025-05-29T17:44:06
10;clerk than as;denote shin and;2025-05-29T14:25:51;2025-05-29T19:14:53;22504;ratify stride;2025-05-29T20:10:55
