id;tenant_id;organization_name;domain;primary_color;secondary_color;logo_url;contact_email;contact_phone;subscription_plan;subscription_status;subscription_start_date;subscription_end_date;monthly_fee_usd;stripe_customer_id;is_active;created_at;updated_at
1;instructive circa silently;cohesion;open;organis;powerfu;gently whey;desensitise besides excepting;openly amid;shepherd stymie;that on yippee;2025-05-29;2025-05-30;16055.83;binge;true;2025-05-30T05:10:25;2025-05-29T20:12:48
2;perfect;per compile;once;catalog;onto mo;whose harmful;woot overtrain;sparse below;ha below drat;aha;2025-05-29;2025-05-30;30959.64;noisily louse;true;2025-05-30T11:28:20;2025-05-29T17:01:24
3;yippee near only;shortlist aha;moonlight standardization;drift s;trill;admirable or;striped abaft even;tricky why notarize;vice;on dreamer;2025-05-30;2025-05-30;3341.47;wed unbuckle;false;2025-05-30T08:54:46;2025-05-29T18:42:46
4;pro by;number;sewer duh volumise;meanwhi;greedil;gee;christen;quintessential;fooey frown grouse;strictly;2025-05-29;2025-05-29;31267.22;mid mistime;false;2025-05-29T22:57:22;2025-05-30T11:10:33
5;lest;consequently vastly where;compost brr;correct;before ;whose limply;treat;up yet throughout;bash honestly helple;connotation incident;2025-05-29;2025-05-30;23880.69;explorer incidentally fixed;true;2025-05-30T02:44:09;2025-05-30T10:09:41
6;jovially;eek institute;instance midst;despite;yippee ;where aw aspect;tremendous;ajar;ack resist;hyphenation;2025-05-30;2025-05-30;32144.63;alongside gyro;false;2025-05-30T05:26:13;2025-05-29T20:37:22
7;now;failing;washer;ample;mmm coo;input intently;pub;relaunch far zowie;station-wagon;naturally amid shaki;2025-05-29;2025-05-29;19336.38;sharp toque regarding;false;2025-05-30T11:51:03;2025-05-29T20:42:54
8;who;excellent hairy um;awe circa blah;acciden;even;trellis;umbrella undercharge;inasmuch;countess;even how boohoo;2025-05-29;2025-05-29;25876.96;even;true;2025-05-30T06:43:08;2025-05-29T14:35:32
9;badly;transfuse formalize huzzah;shinny rumor successfully;vainly;across;chronograph drat;whose posture however;loll;unto italicise weari;modest amid;2025-05-30;2025-05-30;6537.64;blah;true;2025-05-30T06:45:35;2025-05-29T16:51:24
10;where;though hmph;inasmuch wall kissingly;haunt b;oddly s;whoa boohoo;or madly;or;suit;ha unaccountably;2025-05-30;2025-05-30;27181.14;sweetly;true;2025-05-30T02:40:23;2025-05-29T23:06:36
