id;tenant_id;allow_user_registration;require_admin_approval;enable_whatsapp_integration;enable_email_marketing;whatsapp_api_key;email_provider_config;max_events_per_month;max_attendees_per_event;enable_guest_registration;max_guests_per_attendee;default_event_capacity;platform_fee_percentage;custom_css;custom_js;created_at;updated_at
1;curiously notarise;false;false;false;false;mortally gee a;../fake-data/blob/hipster.txt;23819;2114;true;27560;26553;17862.75;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-05-30T02:53:09;2025-05-30T09:12:06
2;tweak herring;true;false;false;false;innocently;../fake-data/blob/hipster.txt;9624;17473;false;15638;30276;20114.56;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-05-30T09:47:49;2025-05-30T13:44:28
3;patiently position;false;true;true;true;peek;../fake-data/blob/hipster.txt;2322;14959;true;19637;3772;12765.41;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-05-29T17:29:51;2025-05-30T10:13:07
4;worm;false;false;true;false;imitation violet;../fake-data/blob/hipster.txt;4242;6587;false;29333;30940;20863;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-05-29T17:02:50;2025-05-30T03:16:43
5;regularly side next;true;true;false;true;while;../fake-data/blob/hipster.txt;31048;6257;true;30646;23546;15935.31;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-05-30T02:20:59;2025-05-29T14:52:40
6;awe woot;true;false;false;false;brr;../fake-data/blob/hipster.txt;24616;18685;false;28018;23239;11806.84;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-05-30T07:42:04;2025-05-30T07:46:32
7;highly portion enfold;true;false;true;false;beside;../fake-data/blob/hipster.txt;5857;4109;true;29650;3997;25161.98;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-05-30T05:52:15;2025-05-30T06:35:24
8;satisfaction enquire ouch;true;false;false;false;unbearably;../fake-data/blob/hipster.txt;28790;9475;false;2669;6702;31058.43;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-05-30T04:08:54;2025-05-30T13:51:34
9;daintily diligently springboard;false;true;false;false;needily mistreat grub;../fake-data/blob/hipster.txt;209;26669;true;18471;12760;15600;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-05-30T00:33:06;2025-05-30T03:12:58
10;roll nationalize underestimate;false;false;true;false;scuttle through jot;../fake-data/blob/hipster.txt;27962;24141;false;13489;8025;6911.55;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-05-29T16:20:16;2025-05-30T13:05:00
