id;name;description;price;code;available_quantity;is_active;created_at;updated_at
1;spawn duh whoa;clever lucky;20078.57;before upon;23096;false;2025-05-06T00:52:15;2025-05-06T06:46:05
2;er;victoriously near;27931.33;spry;28656;true;2025-05-06T10:08:37;2025-05-05T22:14:23
3;last sterilize and;recklessly ha exalted;19598.75;deliberately putter glue;28308;false;2025-05-06T04:49:16;2025-05-06T02:50:56
4;cheek huzzah;fortunately versus amongst;9570.47;minus;11208;true;2025-05-06T12:05:22;2025-05-06T02:37:13
5;illiterate amid gregarious;psst regarding;13933.1;dry;7042;true;2025-05-06T16:26:33;2025-05-06T07:16:59
6;yowza minibus absent;who;17804.19;seemingly skirmish;17468;false;2025-05-06T03:35:15;2025-05-06T00:07:31
7;inasmuch;alarm because;22694.61;owl;3369;true;2025-05-06T05:35:47;2025-05-05T20:51:15
8;gah;venture youthfully instead;2441.87;oof round;17370;true;2025-05-06T11:37:10;2025-05-06T00:33:57
9;brush;beneath who reproachfully;27594.42;accent;5150;false;2025-05-06T04:23:54;2025-05-06T05:35:43
10;despite angry;yuck;30806.74;pacemaker ferociously fertilise;3316;true;2025-05-06T14:37:30;2025-05-06T19:27:17
