id;tenant_id;transaction_type;amount;currency;stripe_payment_intent_id;stripe_transfer_group;platform_fee_amount;tenant_amount;status;created_at;updated_at
1;taunt;furniture;14675.4;ang;populist successfully;bricklaying even recklessly;15001.51;31593.52;abaft whether attent;2025-05-30T05:54:10;2025-05-30T05:26:21
2;voyage during;turkey if;1583.2;hm ;domesticate psst;given;2151.9;9025.1;afore parallel inclu;2025-05-30T05:41:18;2025-05-30T12:51:36
3;miserably few;while throughout;16023.33;und;ugh;sidetrack;29301.17;4374.49;robot;2025-05-29T15:47:11;2025-05-29T16:14:39
4;cool properly;owlishly disallow ve;568.63;gee;ack worth locomotive;meanwhile vestment lest;3878.51;3943.83;nicely;2025-05-29T14:42:43;2025-05-29T21:46:32
5;pacify gregarious;restock glorious;22088.83;sca;gadzooks;brawl helpfully pussyfoot;30557.15;19480.78;a organic dumbwaiter;2025-05-30T07:40:15;2025-05-30T01:06:56
6;as ah shush;sadly gee hunter;22455.43;dea;up;daily enormous playfully;3371.49;25625.34;shame commitment aw;2025-05-30T09:15:29;2025-05-30T08:00:43
7;oof;pfft dirndl well-wor;17445.02;vio;smoothly;boo practical;31771.61;15993.54;lovable overcooked t;2025-05-29T22:51:39;2025-05-29T17:34:21
8;fillet;yuck;4183.57;fer;than off;revascularisation as;343.03;18543.16;exactly among;2025-05-29T19:07:13;2025-05-30T04:13:18
9;opposite queasy absent;versus match;16525.91;chi;woot save incidentally;apud scotch potential;29355.96;26065.07;above;2025-05-30T04:31:14;2025-05-30T05:47:28
10;nearly;shyly;1080.47;pos;lest before;imbue;31121.03;7367.32;once due;2025-05-29T15:15:32;2025-05-29T16:39:27
