id;tenant_id;stripe_customer_id;stripe_subscription_id;stripe_price_id;stripe_current_period_end;status
1;uh-huh front anteater;inasmuch whose paddock;phew summarise;gosh propane before;2025-04-22T18:54:19;broken boot sternly
2;uh-huh yum phew;briskly muddy canteen;woefully but;forenenst upwardly posset;2025-04-22T17:25:01;enthral
3;brr reluctantly exist;jolt;statue supposing phew;gee sketch;2025-04-22T11:11:43;frizz remodel
4;inside;to likewise muffled;whoever aha following;groan forage;2025-04-22T17:15:43;fiercely hence upload
5;since yowza revolve;immediately or unwieldy;minion;authentication upliftingly discard;2025-04-22T16:26:41;quadruple which unexpectedly
6;lean zowie hence;enshrine yuck;hm;yippee;2025-04-22T15:23:53;violently
7;astride greedily buoyant;apropos brr;boo;aha;2025-04-21T21:12:25;cow as
8;colt;currency;painfully provided surprisingly;bide indeed;2025-04-22T16:29:28;amid
9;pace;yippee;mid even;consequently psst;2025-04-22T06:20:10;construe truthfully minus
10;sans;foreclose tantalize drat;pleasant sheepishly;electric corrupt diminish;2025-04-21T23:26:15;north yet
